gene,delta
AP1S1,0.0007117402505039117
AP1S2,-0.0009839622344470778
AP1S3,0.00011339558352718715
AP3B2,0.0014673665466593544
APBA1,-0.0009184731385983858
APBA2,-0.00016241248359816218
APBB1,-0.0013180145945976829
APBB1IP,0.00023553864877567943
APBB2,-0.0006322188425670339
APCDD1,-0.001148717962841328
APCDD1L,-0.0010497001517397742
APH1B,-0.0002490234433225602
APLN,-5.439674803708883e-05
APLP1,-0.0009100390767367017
APLP2,0.0009040264352835337
APOA1,-0.0003055993959443226
APOBEC3B,0.0012897187357601148
APOBEC3C,-1.0991526577797117e-09
APOBEC3D,0.00034388374112082065
APOBEC3F,3.2476847877660475e-09
APOBEC3G,-0.002029068748836904
APOC1,0.000987681293803666
APOD,-0.00031954889943830445
APOE,-0.0019767056198024546
APOH,0.0010587489347667622
APOL1,-7.890943676702733e-06
APOL2,-0.00032809043276949
APOL3,-0.0010245137753831512
APOL6,0.0014368298687488235
APOLD1,2.0351741403246137e-09
APP,-0.000852310001486889
AQP3,-0.000659191810022719
AQP5,0.0005191430362979643
AR,0.0009956197887950324
ARAP2,1.0364857749856071e-08
ARAP3,0.0005672513018102343
AREG,6.098533678056128e-09
ARF4,8.068994399224039e-05
ARG2,0.0009006934368116504
ARGLU1,-0.0011334757988703537
ARHGAP10,0.0003878203875296027
ARHGAP15,-0.0009094343498444735
ARHGAP18,0.0014082282040217553
ARHGAP19,0.00045177019007247576
ARHGAP21,0.00014107216476588746
ARHGAP22,-0.0005426697252245427
ARHGAP23,0.0003339583329057261
ARHGAP24,0.0004906691198993673
ARHGAP25,0.00047528423956411103
ARHGAP26,0.0001773934277372602
ARHGAP27,0.0003134467785155248
ARHGAP29,-0.0004196184774140077
ARHGAP30,-0.0008229427426549307
ARHGAP31,-0.0017262951839421836
ARHGAP32,0.0014164361747635024
ARHGAP33,-0.00024045564449615142
ARHGAP39,0.0006555784622632732
ARHGAP4,3.1000575440032208e-09
ARHGAP42,-0.0005979567504088568
ARHGAP5,-0.0006612237267088483
ARHGAP9,-0.00043367360014601175
ARHGDIB,0.0005808544677637917
ARHGEF1,-0.001080390661982178
ARHGEF10,0.0006183336660272598
ARHGEF10L,-9.685215744881237e-05
ARHGEF11,-0.00025642550431159705
ARHGEF12,-0.0016313386609200231
ARHGEF16,0.0012738072659301825
ARHGEF17,5.0408946483671e-07
ARHGEF19,0.0009503853405552487
ARHGEF2,-0.0005468351808634031
ARHGEF3,-0.0006046495821618869
ARHGEF35,-1.4384439195325172e-09
