gene,delta
ANK3,-0.0005211923558657849
ANKH,-0.003703864904043397
ANKLE1,0.002770717395136346
ANKRD1,0.0034590389580922976
ANKRD10,0.0008827909595344186
ANKRD13A,0.00028278562913186533
ANKRD13B,3.5291205957577176e-08
ANKRD2,0.00037520068954854935
ANKRD22,0.003291504290425018
ANKRD29,-0.0006142674865411424
ANKRD37,-0.0023218229473074836
ANKRD44,-0.0007905570064258294
ANKRD50,0.009837679837626123
ANKRD6,0.007331232784093089
ANKRD9,-0.003609342592602316
ANKS4B,-0.005524927126648094
ANKS6,0.0026623241101059736
ANLN,-0.0015570053020564911
ANO1,-0.004410206848162235
ANO10,-3.54672701982639e-05
ANO6,0.0004569247716946778
ANO8,0.00021032185806596493
ANO9,0.0007549601506278147
ANP32E,-0.0017281823847393185
ANPEP,0.00472178645805843
ANTXR1,-0.0011257341826663714
ANTXR2,-0.0027795114457259684
ANXA1,0.0046375909969561535
ANXA10,-0.0026704833700681996
ANXA11,0.0028982253986017392
ANXA2,-0.00021138254569980086
ANXA3,-0.00014181980048438847
ANXA4,-0.0026377493118053263
ANXA5,0.0068372388981296495
ANXA6,0.007988609124842894
ANXA8,-7.481478658810659e-08
ANXA8L1,-6.85734754535261e-08
ANXA9,0.0012694922229566918
AOX1,0.0028857178236361136
AP1G2,0.0018918389624328902
AP1M2,-0.0010421409071268983
AP1S1,-0.005112276121871873
AP1S2,-0.0010280368268297813
AP1S3,-0.0005561376087741543
AP3B2,0.001242499325980917
APBA1,0.002896178148984685
APBA2,-0.0026778099337259054
APBB1,-0.0012944287234806229
APBB1IP,-0.0003479685266009058
APBB2,-0.008045628169922936
APCDD1,-0.0018517401086114438
APCDD1L,-0.0038844731666978216
APH1B,0.0075266712731978935
APLN,0.00640922375316022
APLP1,0.004017144794440375
APLP2,0.004119570797066208
APOA1,0.0010670171252085137
APOBEC3B,-0.0013186001639448608
APOBEC3C,-6.85734754535261e-08
APOBEC3D,-0.0011734359044451859
APOBEC3F,-6.85734754535261e-08
APOBEC3G,-0.0016157791790348819
APOC1,0.005726555111943199
APOD,-0.004646376913617967
APOE,-0.0010868658612374626
APOH,0.002660373688395279
APOL1,-0.009979100029670784
APOL2,0.004791672196375885
APOL3,-0.004428855183309377
APOL6,0.0008786152732571106
APOLD1,-6.85734754535261e-08
APP,0.0012003187732207432
AQP3,0.0021323940767430383
AQP5,0.00024469323135056786
AR,-0.001488400003893109
ARAP2,7.771369459064204e-08
ARAP3,-0.0029159440846112106
AREG,-6.85734754535261e-08
ARF4,-0.0007471391352310008
ARG2,-0.0015792628329607816
ARGLU1,-0.006662910186640669
ARHGAP10,0.0014775794237603113
ARHGAP15,-0.00011906907380615506
ARHGAP18,-0.0017797649840578522
ARHGAP19,-0.002611724351719691
ARHGAP21,-0.0020182855687568835
ARHGAP22,-0.003595305253928316
ARHGAP23,-0.0035354189310449757
ARHGAP24,0.00248174077751262
ARHGAP25,0.00036524980510826976
ARHGAP26,-0.0007511029022859161
ARHGAP27,-0.0029569823850540966
ARHGAP29,-0.0031082500345601116
ARHGAP30,0.0035638704469039273
ARHGAP31,-0.0011307916672289031
ARHGAP32,-0.0029703046886848106
ARHGAP33,-0.0012059527922076985
ARHGAP39,0.00234349974124759
ARHGAP4,-6.85734754535261e-08
ARHGAP42,0.00043709418342247064
ARHGAP5,-0.00021281889145235988
ARHGAP9,0.0014250428169785279
ARHGDIB,0.001158911496400905
ARHGEF1,-0.0017734013210878863
ARHGEF10,0.001896138315961915
ARHGEF10L,-0.0032198713585605554
ARHGEF11,-0.0010495887758648625
ARHGEF12,-0.0014554604058805154
ARHGEF16,-0.004985719569278901
ARHGEF17,0.0031982983910444074
ARHGEF19,0.007583221359601711
ARHGEF2,-0.004476522393973614
ARHGEF3,0.0007339769686149911
ARHGEF35,-6.85734754535261e-08
ARHGEF37,0.0027203726322486133
ARHGEF4,0.0028063487132563014
ARHGEF5,-0.004928326094047697
ARHGEF6,0.0038361073354488684
ARHGEF9,-0.0014767635483424746
ARID3A,-0.0033582070948490195
ARID3B,0.009194051615240117
ARID5A,0.0052380541841124395
ARID5B,0.0032463384074134516
ARL10,-0.005143733398223382
ARL14,-0.004942909201654577
ARL4A,0.004835691337799541
ARL4C,0.003742037126112041
ARL4D,-0.0015046094889206718
ARL6IP5,0.008213902648977478
ARMC9,-0.0009564989197235474
ARMCX1,-0.002980577817946972
ARMCX2,0.0022839445251205404
ARMCX3,0.0028623107009952964
ARMCX6,-6.85734754535261e-08
ARNT2,0.0016374554334787073
ARNTL,-0.0018204357758620504
ARNTL2,0.0002069304755129009
ARPC1A,0.0019618149697722687
ARPC1B,0.0015521366888919252
ARRB1,0.0010217511962584136
ARRB2,-0.004493979777833723
ARRDC1,-0.004983389109591729
ARRDC2,0.002249951899222724
ARRDC3,0.002326640997901086
ARRDC4,-0.005536475391410334
ARSA,-0.0015040196146026696
ARSB,-0.0013753327630703915
ARSD,-0.0024450556026150982
ARSE,-0.00574321504208547
ARSI,0.0007764978731780725
ARSJ,0.0073605445174839135
ARTN,0.0051937756690838
ARVCF,0.0007156417614613275
ASAH1,0.008830853153413531
ASAP1,0.004217156685024592
ASAP2,-0.007458004297299814
ASAP3,0.00036438885523032427
ASB13,0.001851294079811494
ASB2,0.003297625925320846
ASB9,-0.0061049131660913525
ASCL1,-0.0007800661192696179
ASCL2,-0.003034643389802527
ASF1B,-0.003029145735199912
ASL,-0.0017695302730334483
ASMTL,-0.005532716238434043
ASNS,-0.0011678902768731403
ASPH,0.0036488857554369813
ASPHD1,-0.009950440537035588
ASPHD2,0.005119471489737626
ASPM,0.0017119400289891673
ASRGL1,-0.00025894035636392365
ASS1,-0.008968597455302929
ATAD2,0.0022328892654042143
ATAD3B,-0.0035530882630872562
ATCAY,-0.005076511891787983
ATF3,-0.00030020219031651196
ATF5,-0.0027618223616855953
ATF7IP2,-0.0013315607662423012
ATG16L2,0.004787806673125672
ATHL1,0.0017691484884984066
ATL1,0.003087412170874826
